Episode,Reward,Length,TD_Error
566,-848.0,200,116.70383727127245
567,-830.0,200,256.23095998878176
568,-848.0,200,147.96094105051867
569,-758.0,200,170.58633787297114
570,-686.0,200,95.9594242246834
571,-830.0,200,149.13602438916655
572,-794.0,200,177.92330971324498
573,-93.0,33,56.84764137698966
574,-821.0,200,186.10302794240448
575,-704.0,200,105.3620726551622
576,-830.0,200,138.2038870574799
577,-659.0,200,75.80451213669801
578,-416.0,131,47.97020504078205
579,-776.0,200,124.48678388086739
580,-821.0,200,157.99346489122195
581,-677.0,200,100.7911423927842
582,-749.0,200,146.56497042671816
583,-830.0,200,192.13079317078143
584,-821.0,200,142.12971825034322
585,-821.0,200,204.71658475559957
586,-821.0,200,111.24641024535606
587,-740.0,200,199.93216364166705
588,-704.0,200,109.50798397174447
589,-839.0,200,176.48618872139645
590,-713.0,200,110.01472480133464
591,-713.0,200,120.13367727384394
592,-767.0,200,109.12646367354682
593,-686.0,200,114.79590596227585
594,-839.0,200,117.14855265600505
595,-839.0,200,138.4266997061036
596,-749.0,200,113.49800154884952
597,-821.0,200,116.04918988117794
598,-659.0,200,127.86105399060597
599,-785.0,200,180.54691547907748
600,-848.0,200,154.38728880927454
601,-830.0,200,163.19294136845144
602,-866.0,200,139.36968601289857
603,-812.0,200,159.8065637801473
604,-767.0,200,90.43108988675277
605,-713.0,200,253.61516970243395
606,-812.0,200,137.56214631049812
607,-785.0,200,137.3945579551168
608,-325.0,85,76.69985891496799
609,-713.0,200,102.24439678612504
610,-384.0,108,140.94335083555097
611,-713.0,200,95.95124730811278
612,-740.0,200,140.6593012617501
613,-767.0,200,102.44666117137785
614,-677.0,200,122.25587221093423
615,-265.0,70,98.02322136212905
616,-875.0,200,169.68005761291363
617,-767.0,200,90.1450854872212
618,-758.0,200,172.58407063918173
619,-758.0,200,133.2096614188967
620,-713.0,200,125.35629866056428
621,-812.0,200,177.80710473884278
622,-785.0,200,128.02505872416504
623,-695.0,200,138.8480707083769
624,-839.0,200,133.23214573135846
625,-767.0,200,135.53481235991353
626,-776.0,200,152.27912824488175
627,-812.0,200,89.89782778449558
628,-767.0,200,156.76066020493954
629,-740.0,200,130.4872046602847
630,-830.0,200,219.67360322550581
631,-803.0,200,135.27992930578318
632,-830.0,200,106.1662920447402
633,-749.0,200,137.8760525618194
634,-758.0,200,130.72920738475543
635,-713.0,200,91.83294511048473
636,-749.0,200,103.70651492674284
637,-749.0,200,122.05827780882862
638,-821.0,200,105.18651959453746
639,-812.0,200,128.73972369575154
640,-610.0,145,106.07416862392131
641,-686.0,200,86.53895979266588
642,-677.0,200,74.59630394528838
643,-740.0,200,90.64795922432177
644,-875.0,200,210.6494262603058
645,-785.0,200,190.26660834172026
646,-704.0,200,110.51962950388463
647,-785.0,200,151.69353638471637
648,-695.0,200,169.24884335303324
649,-785.0,200,170.80901848603764
650,-794.0,200,144.73899821332282
651,-740.0,200,71.59653650153649
652,-803.0,200,139.98655841931782
653,-695.0,200,183.58104066397073
654,-848.0,200,138.18113100412785
655,-830.0,200,163.37814393829524
656,-470.0,140,90.50189249785703
657,-848.0,200,180.8529699059327
658,-857.0,200,201.0996522084515
659,-749.0,200,113.45065202991577
660,-776.0,200,146.23378597981468
661,-749.0,200,131.05069240876222
662,-839.0,200,149.86370447899122
663,-983.0,200,225.351516872738
664,-749.0,200,204.3522216229597
665,-785.0,200,192.29295187912652
666,-722.0,200,106.4970554391196
667,-677.0,200,135.16190193201606
668,-875.0,200,230.86579121131382
669,-839.0,200,202.3859855352456
670,-758.0,200,117.80696082001367
671,-758.0,200,146.68470316116463
672,-812.0,200,176.45063487638623
673,-821.0,200,116.23761248942469
674,-794.0,200,122.78484369515621
675,-794.0,200,126.72760819714364
676,-830.0,200,133.8913986775595
677,-830.0,200,146.0990999806292
678,-794.0,200,122.20901051618023
679,-740.0,200,186.4903977811972
680,-758.0,200,79.81186586429146
681,-821.0,200,132.5238254294493
682,-731.0,200,120.22037070303054
683,-659.0,200,98.9180703002653
684,-839.0,200,120.66663990933176
685,-740.0,200,152.1098484453959
686,-601.0,154,167.60122495167911
687,-785.0,200,135.93250378070508
688,-749.0,200,213.11757315383966
689,-839.0,200,227.5708818368164
690,-866.0,200,121.0595880847651
691,-767.0,200,143.5261801777715
692,-749.0,200,118.82269358813357
693,-821.0,200,190.52825402798754
694,-794.0,200,133.2248818359247
695,-677.0,200,135.0298713676081
696,-668.0,200,98.86858105578295
697,-830.0,200,254.99959479913673
698,-713.0,200,145.62189962626456
699,-785.0,200,134.799369769333
700,-785.0,200,141.815100959792
701,-776.0,200,165.73420941110135
702,-767.0,200,188.67190195893306
703,-731.0,200,181.52409290246072
704,-794.0,200,178.2321164608033
705,-875.0,200,185.20369154801165
706,-803.0,200,89.15851186280344
707,-794.0,200,85.61505195607907
708,-803.0,200,115.2101065519127
709,-722.0,200,114.85903023763223
710,-893.0,200,212.63610810679387
711,-686.0,200,103.63487164027362
712,-830.0,200,101.29321074480646
713,-821.0,200,154.30761899227514
714,-821.0,200,175.12683766478182
715,-884.0,200,159.5931525128551
716,-803.0,200,157.3245705335721
717,-686.0,200,148.82808466532248
718,-645.0,180,86.09243893199283
719,-839.0,200,178.43906788252752
720,-866.0,200,167.74908016684276
721,-677.0,200,91.8512039108436
722,-812.0,200,121.95221483956306
723,-731.0,200,109.54512264785717
724,-722.0,200,151.55041753324463
725,-767.0,200,100.21489019548028
726,-722.0,200,88.64217083080291
727,-776.0,200,138.7261115018842
728,-731.0,200,133.39699883646625
729,-776.0,200,92.08274128160696
730,-758.0,200,130.5737720164559
731,-803.0,200,162.6828741346449
732,-794.0,200,73.03172977281389
733,-821.0,200,133.5847382363708
734,-722.0,200,116.59815092681589
735,-110.0,50,37.62974779724904
736,-740.0,200,117.5274453542637
737,-398.0,104,46.89247847867972
738,-677.0,200,100.94590873421728
739,-866.0,200,152.10793497599053
740,-740.0,200,95.86528295491757
741,-740.0,200,131.21724180119628
742,-857.0,200,212.6163745753816
743,-785.0,200,163.54841606852204
744,-803.0,200,87.39131012834753
745,-776.0,200,110.68197097436519
746,-758.0,200,126.87223449571673
747,-758.0,200,121.4660631546576
748,-767.0,200,200.3660643813546
749,-704.0,200,90.32787169633048
750,-731.0,200,82.79232265827511
751,-713.0,200,147.216770342781
752,-776.0,200,158.30847087692513
753,-740.0,200,197.08550974135244
754,-749.0,200,112.28964563184684
755,-686.0,200,114.98336456212468
756,-740.0,200,152.26308359268063
757,-767.0,200,139.13874807372622
758,-812.0,200,148.0046501078572
759,-668.0,200,125.36878587401554
760,-794.0,200,113.23075299887898
761,-830.0,200,161.18552088726506
762,-938.0,200,190.35575734160994
763,-767.0,200,206.08299738580524
764,-848.0,200,229.25377184724715
765,-848.0,200,156.65883532642437
766,-455.0,116,39.51452063684491
767,-758.0,200,124.22445648829512
768,-713.0,200,123.24935051195277
769,-848.0,200,178.24254095097024
770,-776.0,200,185.92013501315563
771,-839.0,200,178.70457564487123
772,-785.0,200,138.08436147597286
773,-731.0,200,93.8798228583139
774,-785.0,200,108.52480646002351
